,id,url,broadcaster_id,broadcaster_name,creator_id,creator_name,video_id,game_id,language,title,view_count,created_at,duration,is_featured
0,CuriousHelpfulRaisinResidentSleeper-CbVB0erl5MIVMV_Z,https://clips.twitch.tv/CuriousHelpfulRaisinResidentSleeper-CbVB0erl5MIVMV_Z,544502795,ibabyrainbow,87543084,JackKnife01,,509658,en,The lack of fat is a lack of flavor,2247,2024-10-05T22:08:55Z,11.5,False
1,MotionlessSavageGaurTBTacoLeft-VzHqpmBZ07WTJ5Dj,https://clips.twitch.tv/MotionlessSavageGaurTBTacoLeft-VzHqpmBZ07WTJ5Dj,544502795,ibabyrainbow,61628799,RuraPenthe924,,116747788,en,What the Dog,1413,2024-10-07T19:49:09Z,25.9,False
2,InexpensiveHonorableConsoleYouDontSay-midbAG-b2pwEhSip,https://clips.twitch.tv/InexpensiveHonorableConsoleYouDontSay-midbAG-b2pwEhSip,544502795,ibabyrainbow,92938105,spankyhotdog,,509658,en,DUCK LIFE,479,2024-10-01T21:56:19Z,60.0,False
3,ColorfulCrunchyNeanderthalTakeNRG-AoWZE6MqY2npIBQM,https://clips.twitch.tv/ColorfulCrunchyNeanderthalTakeNRG-AoWZE6MqY2npIBQM,544502795,ibabyrainbow,92938105,spankyhotdog,,509658,en,feeding the computer!,375,2024-10-03T21:53:10Z,59.1,False
4,BrainyNaiveSardineOSfrog-0NKME2J1ljds2JjZ,https://clips.twitch.tv/BrainyNaiveSardineOSfrog-0NKME2J1ljds2JjZ,544502795,ibabyrainbow,92938105,spankyhotdog,,509658,en,LUCY NEW TOY,273,2024-10-04T01:20:27Z,48.4,False
5,ModernAmorphousSeahorseSaltBae-Hl17MHtiXK_1V_gW,https://clips.twitch.tv/ModernAmorphousSeahorseSaltBae-Hl17MHtiXK_1V_gW,544502795,ibabyrainbow,92938105,spankyhotdog,,509658,en,DOGGOS,241,2024-10-06T20:32:47Z,57.9,False
6,CloudyEntertainingGarlicAsianGlow-AXL1-nV0BzUGbeux,https://clips.twitch.tv/CloudyEntertainingGarlicAsianGlow-AXL1-nV0BzUGbeux,544502795,ibabyrainbow,92938105,spankyhotdog,,509658,en,keyboard skillz!,231,2024-10-03T22:22:47Z,60.0,False
7,BombasticCourteousPigeonRedCoat-XpbMZ4vEjmmBvttw,https://clips.twitch.tv/BombasticCourteousPigeonRedCoat-XpbMZ4vEjmmBvttw,544502795,ibabyrainbow,87543084,JackKnife01,,509658,en,MAY 2021 🎬 VOD WATCH PARTY 🍿 SOBER OCTOBER 👽 DAY 7,219,2024-10-07T20:40:43Z,26.0,False
8,MoistManlyAntVoteNay-dTekgZHEu_CXYf2g,https://clips.twitch.tv/MoistManlyAntVoteNay-dTekgZHEu_CXYf2g,544502795,ibabyrainbow,63372337,Official_Dave_,,509658,en,Lucy Cuteness Overload,213,2024-10-06T22:39:56Z,60.0,False
9,ModernGiantKumquatDendiFace-6RSHlEWpoOUToQ8i,https://clips.twitch.tv/ModernGiantKumquatDendiFace-6RSHlEWpoOUToQ8i,544502795,ibabyrainbow,241656939,grave____,,509658,en,HEADS UP,163,2024-10-03T23:55:02Z,8.2,False
10,LittleSparklyLasagnaImGlitch-T3VBDc4y7PkA_6N7,https://clips.twitch.tv/LittleSparklyLasagnaImGlitch-T3VBDc4y7PkA_6N7,544502795,ibabyrainbow,776966181,only4cooney,,509658,en,SOBER OCTOBER 👽 DAY 4,103,2024-10-04T22:05:49Z,28.0,False
11,KitschyTameManateeLeeroyJenkins--yEoGayItfTBFng-,https://clips.twitch.tv/KitschyTameManateeLeeroyJenkins--yEoGayItfTBFng-,544502795,ibabyrainbow,776966181,only4cooney,,509658,en,SOBER OCTOBER 👽 DAY 5,85,2024-10-05T23:49:25Z,28.0,False
12,MoldyAmusedBunnyKevinTurtle-deWWvuGz-HmuMtoO,https://clips.twitch.tv/MoldyAmusedBunnyKevinTurtle-deWWvuGz-HmuMtoO,544502795,ibabyrainbow,92938105,spankyhotdog,,33214,en,DOOM VICTORY,79,2024-10-03T00:19:56Z,59.0,False
